examOrdinal,questionKey,questionTag,maxScore,cognitiveLevel,difficulty,knowledgeCode,knowledgeTitle,chapterCode,inFramework,outsideTopic,outsideTitle,confidence,reviewFlags,contentPreview
2,I-8,TN4,0.25,NB,1,,,,false,OUT.MU_LOGARIT,Ham mu - logarit / tap xac dinh log,0.63,QUESTION_MC_ANSWER_NEEDS_REVIEW;OUT_OF_FRAME,"Cho hàm số $y = f(x)$ có $f'(x) = (e^x - 1)(x^2 - x)$, $\forall x \in \mathbb{R}$. Số điểm cực trị của hàm số $y = f(x)$ là"
2,I-9,TN4,0.25,NB,1,,,,false,OUT.HINH_HOC_KHONG_GIAN_CO_DIEN,Hinh hoc khong gian co dien,0.63,QUESTION_MC_ANSWER_NEEDS_REVIEW;OUT_OF_FRAME,Cho hình chóp tứ giác đều S.ABCD có cạnh đáy bằng a và chiều cao bằng $ a\sqrt{2} $. Tính khoảng cách từ A đến mặt bên (SCD).
2,I-10,TN4,0.25,NB,1,C1.B2.2,Tìm GTLN–GTNN trên một đoạn / khoảng / tập xác định,C1,true,,,0.96,QUESTION_MC_ANSWER_NEEDS_REVIEW,Xét hàm số $y = \frac{x-1}{2x+1}$ trên $[0;1]$. Khẳng định nào sau đây đúng?
2,I-11,TN4,0.25,NB,1,C1.B1.2,"Cực trị: khái niệm, cách tìm cực trị",C1,true,,,0.96,QUESTION_MC_ANSWER_NEEDS_REVIEW,Cho hàm số y = ax³ + bx² + cx + d có đồ thị như hình vẽ. Khẳng định nào dưới đây đúng?
2,I-12,TN4,0.25,NB,1,C1.B5.2,Bài toán tối ưu hoá đơn giản,C1,true,,,0.96,QUESTION_MC_ANSWER_NEEDS_REVIEW,Bạn Nga có một tấm bìa hình vuông cạnh 20 cm. Bạn muốn cắt ở mỗi góc một hình vuông nhỏ để gấp và dán lại thành một cái hộp đựng đồ dùng học tập không có nắp (mép dán không đáng k...
2,II-1,DS,1,VD,3,C1.B2.2,Tìm GTLN–GTNN trên một đoạn / khoảng / tập xác định,C1,true,,,0.84,,"Cho hàm số y = f(x) có bảng biến thiên như hình vẽ sau. Xét tính đúng, sai của các khả năng định sau <table border=1 style='margin: auto; word-wrap: break-word;'><tr><td style='te..."
2,II-2,DS,1,TH,2,,,,false,OUT.GIOI_HAN,Gioi han,0.63,OUT_OF_FRAME,Cho hàm số $y=\frac{2x^2+5x}{x+3}$ có đồ thị (C). Các khẳng định sau đúng hay sai?
2,II-3,DS,1,TH,2,,,,false,OUT.DAO_HAM_CO_BAN,Dao ham co ban / tiep tuyen,0.63,OUT_OF_FRAME,"Cho hàm số $ y = f(x) = \frac{ax + b}{cx + 1} $ với $ a, b, c \in \mathbb{R} $ có đồ thị như hình vẽ dưới: Các khả năng định sau đúng hay sai?"
2,II-4,DS,1,VD,3,C6.B18.1,Khái niệm xác suất có điều kiện,C6,true,,,0.703,,"Trong đề kiểm tra 15 phút môn Toán của lớp 11A có 20 câu trắc nghiệm. Mỗi câu trắc nghiệm có 4 phương án trả lời, trong đó chỉ có một phương án trả lời đúng. Biết rằng mỗi câu trả..."
2,III-1,TLN,0.5,VD,3,,,,false,OUT.DAO_HAM_CO_BAN,Dao ham co ban / tiep tuyen,0.63,QUESTION_SHORT_ANSWER_NEEDS_REVIEW;OUT_OF_FRAME,Cho hàm số $y = \frac{2x - 1}{x + 1}$ có đồ thị $C$ và $I$ là giao điểm của hai đường tiệm cận. Giả sử $M x_{0}; y_{0}$ là điểm trên đồ thị $C$ có hoành độ dương sao cho tiếp tuyế...
2,III-2,TLN,0.5,VDC,4,,,,false,OUT.GIOI_HAN,Gioi han,0.63,OUT_OF_FRAME,Một công ty sản xuất mỹ phẩm ước tính chi phí để sản xuất x (sản phẩm) là $$ C(x)=300x+50\ \mathrm{(ng h i n d o n g)}. $$ Khi đó $f(x)=\frac{C(x)}{x}$ là chi phí sản xuất trung b...
2,III-3,TLN,0.5,VD,3,C5.B15.1,"Phương trình đường thẳng (tham số, chính tắc)",C5,true,,,0.803,QUESTION_SHORT_ANSWER_NEEDS_REVIEW,"Cho $M(a;b)$ là điểm nằm trên đường thẳng đi qua hai điểm cực trị của đồ thị hàm số $y = x^{3} - 3x$ và hai điểm $A(1;2)$, $B(2;1)$. Khi $MA + MB$ ngắn nhất thì giá trị $b - a$ bằ..."
2,III-4,TLN,0.5,VD,3,,,,false,OUT.DAO_HAM_CO_BAN,Dao ham co ban / tiep tuyen,0.63,OUT_OF_FRAME,"Trong một buổi cắm trại bên bờ hồ, các đội thi đua chạy từ lều chỉ huy A cách bờ hồ 20 m đến hồ lấy nước và mang về lều chỉ huy B cách bờ hồ 50 m. Hai lêu chỉ huy A và B cách nhau..."
2,III-5,TLN,0.5,VD,3,,,,false,OUT.LUONG_GIAC,Luong giac ngoai nguyen ham/tich phan,0.63,OUT_OF_FRAME,"Một đại lý vật liệu cần thuê xe chở 140 tấn xi măng và 9 tấn thép tới công trình xây dựng. Nơi thuê có hai loại xe A và B, trong đó xe A có 10 chiếc và xe B có 9 chiếc. Mỗi xe loạ..."
2,III-6,TLN,0.5,VDC,4,CD3.B5.2,Lãi suất và cách tính lãi suất,CD3,true,,,0.68,,"Vào đầu tháng 1 anh Huy gửi vào ngân hàng 1 tỷ đồng với lãi suất 0,5%/tháng. Từ đó, cứ vào đầu mỗi tháng bắt đầu từ tháng thứ hai anh Huy đến ngân hàng rút ra 30 triệu đồng để tiê..."
3,I-1,TN4,0.25,NB,1,,,,false,OUT.MU_LOGARIT,Ham mu - logarit / tap xac dinh log,0.63,OUT_OF_FRAME,Giá trị nhỏ nhất của hàm số $ y=(x-3)^2 e^x $ trên đoạn [0;2] bằng
3,I-2,TN4,0.25,NB,1,,,,false,OUT.MU_LOGARIT,Ham mu - logarit / tap xac dinh log,0.63,OUT_OF_FRAME,Bất phương trình $ 1 + \log_2(x-2) > \log_2(x^2 - 3x + 2) $ có tập nghiệm là
3,I-3,TN4,0.25,NB,1,,,,false,OUT.DAO_HAM_CO_BAN,Dao ham co ban / tiep tuyen,0.63,QUESTION_MC_ANSWER_NEEDS_REVIEW;OUT_OF_FRAME,"Cho hàm số y = f(x) xác định, có đạo hàm trên Ủ và f'(x) có đồ thị như hình vẽ Mệnh đề nào sau đây đúng?"
3,I-4,TN4,0.25,NB,1,C1.B1.2,"Cực trị: khái niệm, cách tìm cực trị",C1,true,,,0.96,,Cho hàm số y = f(x) có bảng biến thiên sau: Giá trị cực đại của hàm số $ y = f(x) $ là:
3,I-5,TN4,0.25,NB,1,,,,false,OUT.GIOI_HAN,Gioi han,0.63,QUESTION_MC_ANSWER_NEEDS_REVIEW;OUT_OF_FRAME,Đường cong trong hình bên là đồ thị của hàm số nào dưới đây?
3,I-6,TN4,0.25,NB,1,,,,false,OUT.HINH_HOC_KHONG_GIAN_CO_DIEN,Hinh hoc khong gian co dien,0.63,QUESTION_MC_ANSWER_NEEDS_REVIEW;OUT_OF_FRAME,Cho hình lăng trụ đứng $ ABC.A'B'C' $ có đáy là tam giác đều cạnh a. Tính góc tạo bởi $ B'C $ và mặt phẳng $ (ABB'A') $ biết $ BB' = \frac{a\sqrt{2}}{2} $.
3,I-7,TN4,0.25,NB,1,,,,false,OUT.LUONG_GIAC,Luong giac ngoai nguyen ham/tich phan,0.63,OUT_OF_FRAME,Nghiệm của phương trình $ \cos x = \frac{1}{2} \mathrm{~l~a~} $
3,I-8,TN4,0.25,NB,1,C2.B6.2,Tổng và hiệu của hai vectơ,C2,true,,,0.96,,Cho hình lập phương $ABCD \cdot A'B'C'D'$ . Gọi là tâm của hình lập phương. Khẳng định nào sau đây là đúng?
3,I-9,TN4,0.25,NB,1,,,,false,OUT.GIOI_HAN,Gioi han,0.63,QUESTION_MC_ANSWER_NEEDS_REVIEW;OUT_OF_FRAME,Đường tiệm cận ngang của đồ thị hàm số $ y=\frac{2x-4}{x-1} $ có phương trình là
3,I-10,TN4,0.25,NB,1,C2.B7.2,"Toạ độ của điểm, toạ độ của vectơ",C2,true,,,0.96,,"Trong không gian, chọn hệ trục tọa độ cho trước, đơn vị đo lấy kilômét, ra đa phát hiện một máy bay đi chuyển với vận tốc và hướng không đổi từ điểm $ A(100;50;5) $ đến điểm $ B(2..."
3,I-11,TN4,0.25,NB,1,,,,false,OUT.HINH_OXY,Phuong phap toa do Oxy / conic,0.63,QUESTION_MC_ANSWER_NEEDS_REVIEW;OUT_OF_FRAME,"Quỹ đạo của sao hỏa là elip có bán trục lớn 227,9 triệu km, bán trục nhỏ bằng 226,9 triệu km và quay quanh mặt trời một vòng hết 687 ngày. Khoảng cách xa nhất giữa sao hỏa và mặt ..."
3,I-12,TN4,0.25,NB,1,C2.B7.1,Hệ trục toạ độ Oxyz,C2,true,,,0.68,QUESTION_MC_ANSWER_NEEDS_REVIEW,"Trong không gian Oxyz, cho biểu diễn của $ \vec{a} $ qua các vecto đơn vị là $ \vec{a} = 2\vec{i} + \vec{k} - 3\vec{j} $. Tọa độ của $ \vec{a} $ là:"
3,II-1,DS,1,VD,3,C1.B2.2,Tìm GTLN–GTNN trên một đoạn / khoảng / tập xác định,C1,true,,,0.96,,"Nhà ông A cần làm một bề chứa nước có dạng khối hợp chữ nhật không nắp, có đáy là hình chữ nhật và chiều dài gấp ba lần chiều rộng, khối hợp tương ứng có thể tích bằng 1152 dm³. G..."
3,II-2,DS,1,TH,2,C5.B15.1,"Phương trình đường thẳng (tham số, chính tắc)",C5,true,,,0.803,,"Trong không gian Oxyz, cho tam giác ABC với A(1;1;2), B(5;1;−2) và C(3;5;0). Các khẳng định sau đúng hay sai?"
3,II-3,DS,1,VD,3,C2.B7.2,"Toạ độ của điểm, toạ độ của vectơ",C2,true,,,0.68,QUESTION_TF_a_NEEDS_REVIEW;QUESTION_TF_b_NEEDS_REVIEW;QUESTION_TF_c_NEEDS_REVIEW;QUESTION_TF_d_NEEDS_REVIEW,Cho hàm số $y = f(x) = \frac{ax^2 + bx + c}{x + d}$ có đồ thị là đường cong như hình vẽ dưới đây Biết đường tiệm cận xiên của đồ thị hàm số đi qua 2 điểm (0;1) và (1;0).
3,II-4,DS,1,VD,3,,,,false,OUT.CAP_SO,Cap so cong - cap so nhan,0.63,OUT_OF_FRAME,"Một hộp chứa các viên bi có kích thước và khối lượng như nhau gồm 5 bi trắng, 6 bi đỏ và 7 bi xanh. Chọn ngẫu nhiên 6 viên bi từ hộp; trong đó có x viên bi trắng, y viên bi đỏ và ..."
3,III-1,TLN,0.5,VDC,4,,,,false,OUT.MU_LOGARIT,Ham mu - logarit / tap xac dinh log,0.63,OUT_OF_FRAME,"Trong một phòng thí nghiệm, số lượng của một vi khuẩn X được biểu diễn theo công thức S t = Ae^{r}, trong đó A là số lượng vi khuẩn tại thời điểm chọn mốc thời gian, r là tỉ lệ tă..."
3,III-2,TLN,0.5,VDC,4,C1.B2.2,Tìm GTLN–GTNN trên một đoạn / khoảng / tập xác định,C1,true,,,0.68,,Gia đình ong 1 hanh nuơi tom vơi diện tích ao nuơi la 100m². Vụ tom vừa qua ong nuơi vơi mật độ là 1(kg/m²) tôm giống và sản lượng tôm khi thu hoạch được 2 tấn tôm. Với kinh nghiệ...
3,III-3,TLN,0.5,VDC,4,C2.B7.1,Hệ trục toạ độ Oxyz,C2,true,,,0.68,,Một chiếc máy bay đang bay trong hệ trục toạ độ Oxyz với mặt phẳng (Oxy) là mặt đất như hình vẽ. Biết rằng khi đang ở độ cao 8000 mét so với mặt đất (vị trí A) thì máy bay chuyển ...
3,III-4,TLN,0.5,VDC,4,C2.B7.1,Hệ trục toạ độ Oxyz,C2,true,,,0.68,QUESTION_SHORT_ANSWER_NEEDS_REVIEW,"Một kiến trúc sư muốn xây dựng một toà nhà biểu tượng độc lạ cho thành phố. Trên bản thiết kế toà nhà có hình dạng là một khối lăng trụ tam giác đều, có cạnh bên bằng cạnh đáy và ..."
3,III-5,TLN,0.5,VDC,4,C1.B5.2,Bài toán tối ưu hoá đơn giản,C1,true,,,0.68,,"Từ một tấm bìa mỏng hình lục giác đều cạnh 4√3 dm, bạn An cắt bỏ sáu tam giác cân bằng nhau có cạnh đáy là cạnh của hình lục giác đều ban đầu và đinh là đinh của một hình lục giác..."
3,III-6,TLN,0.5,VD,3,C1.B2.2,Tìm GTLN–GTNN trên một đoạn / khoảng / tập xác định,C1,true,,,0.84,,"Một chất điểm chuyển động có phương trình chuyển động là $s = -t^{3} + 6t^{2} + 17t$, với $t(s)$ là khoảng thời gian tính từ lúc vật bắt đầu chuyển động và $s(m)$ là quãng đường v..."
4,I-1,TN4,0.25,NB,1,,,,false,OUT.LUONG_GIAC,Luong giac ngoai nguyen ham/tich phan,0.63,OUT_OF_FRAME,Họ nghiệm của phương trình $ \sin 3x = \frac{1}{2} $ là:
4,I-2,TN4,0.25,NB,1,,,,false,OUT.LUY_THUA_CAN_THUC,Luy thua - can thuc ngoai khung,0.63,OUT_OF_FRAME,Tập xác định của hàm số $ y = (x + 2)^{2021} $ là:
4,I-3,TN4,0.25,NB,1,,,,false,OUT.GIOI_HAN,Gioi han,0.63,OUT_OF_FRAME,Giới hạn $ \lim\limits_{x\to+\infty}\frac{2x}{x^{2}+1} $
4,I-4,TN4,0.25,NB,1,,,,false,OUT.HINH_HOC_KHONG_GIAN_CO_DIEN,Hinh hoc khong gian co dien,0.63,QUESTION_MC_ANSWER_NEEDS_REVIEW;OUT_OF_FRAME,"Cho hình chóp S.ABCD có đấy ABCD là hình chữ nhất. Gọi $M, $N$ theo thứ tự là trọng tâm $\Delta SAB$; $\Delta SCD$. Khi đó $MN$ song song với mặt phẳng"
4,I-5,TN4,0.25,TH,2,,,,false,OUT.THONG_KE_KHAC,Thong ke ngoai khung phan tan,0.63,QUESTION_MC_ANSWER_NEEDS_REVIEW;OUT_OF_FRAME,Tìm hiểu thời gian hoàn thành một bài tập (đơn vị: phút) của một số học sinh thu được kết quả sau: <table border=1 style='margin: auto; word-wrap: break-word;'><tr><td style='text...
4,I-6,TN4,0.25,NB,1,,,,false,OUT.TO_HOP_XAC_SUAT_CO_BAN,To hop / xac suat co ban,0.63,QUESTION_MC_ANSWER_NEEDS_REVIEW;OUT_OF_FRAME,"Cho A, B là hai biến cố xung khắc. Biết $ P(A)=\frac{1}{3} $, $ P(B)=\frac{1}{4} $ Tính $ P(A \cup B) $"
4,I-7,TN4,0.25,NB,1,C1.B1.1,"Tính đơn điệu (đồng biến, nghịch biến); xét dấu đạo hàm; bảng biến thiên",C1,true,,,0.96,QUESTION_MC_ANSWER_NEEDS_REVIEW,Cho hàm số $y = f(x)$ có bảng biến thiên như sau: Hàm số đã cho nghịch biến trên khoảng nào dưới đây?
4,I-8,TN4,0.25,NB,1,,,,false,OUT.CAP_SO,Cap so cong - cap so nhan,0.63,OUT_OF_FRAME,Dãy sổ nào trong các dãy sổ dưới đày là một cấp sổ cộng?
4,I-9,TN4,0.25,NB,1,C1.B2.2,Tìm GTLN–GTNN trên một đoạn / khoảng / tập xác định,C1,true,,,0.96,QUESTION_MC_ANSWER_NEEDS_REVIEW,Cho hàm số $f(x)$ có đồ thị như hình bên. Giá trị lớn nhất của hàm số $f(x)$ trên đoạn $[-3;2]$ đạt tại $x$ bằng
4,I-10,TN4,0.25,NB,1,C1.B3.2,Tiệm cận đứng,C1,true,,,0.96,,Tiêm cận đứng của đồ thị hàm số $ y = \frac{2x + 4}{x - 1} $ là
4,I-11,TN4,0.25,NB,1,C1.B4.3,"Hàm phân thức hữu tỉ (bậc nhất/bậc nhất, bậc hai/bậc nhất)",C1,true,,,0.96,,Hàm số nào dưới đây có đồ thị như đường cong trong hình bên?
4,I-12,TN4,0.25,NB,1,C2.B6.2,Tổng và hiệu của hai vectơ,C2,true,,,0.96,QUESTION_MC_ANSWER_NEEDS_REVIEW,Cho hình lập phương $ ABCD.A'B'C'D' $ có độ dài mỗi cạnh bằng 1. Tính độ dài của $ \overrightarrow{AB} + \overrightarrow{CC'} $
4,II-1,DS,1,TH,2,,,,false,OUT.HINH_HOC_KHONG_GIAN_CO_DIEN,Hinh hoc khong gian co dien,0.63,QUESTION_TF_c_NEEDS_REVIEW;QUESTION_TF_d_NEEDS_REVIEW;OUT_OF_FRAME,Cho hình chóp S.ABC có mặt bên (SAB) vuông góc với mặt đáy và tam giác SAB đều cạnh 2a. Lấy H là trung điểm của AB. Biết tam giác ABC vuông tại C và cạnh AC = a√3. Khi đó:
4,II-2,DS,1,VD,3,C1.B2.2,Tìm GTLN–GTNN trên một đoạn / khoảng / tập xác định,C1,true,,,0.96,QUESTION_TF_d_NEEDS_REVIEW,Cho hàm số y = f(x) = x³ - 3x. Khi đó:
4,II-3,DS,1,VD,3,,,,false,OUT.GIOI_HAN,Gioi han,0.63,OUT_OF_FRAME,Cho hàm số $y = f(x) = \frac{x^2 - x + 2}{x - 2}$ có đồ thi (C).
4,II-4,DS,1,VD,3,,,,false,OUT.DAO_HAM_CO_BAN,Dao ham co ban / tiep tuyen,0.63,QUESTION_STATEMENTS_PARSED_3;OUT_OF_FRAME,Số dân của một thị trấn sau tỉ năm kể từ năm 1970 được ước tính bởi công thức $ f(t)=\frac{26t+10}{t+5} $ ( $ f(t) $ được tính bằng nghìn người).
4,III-1,TLN,0.5,VD,3,,,,false,OUT.HINH_HOC_KHONG_GIAN_CO_DIEN,Hinh hoc khong gian co dien,0.63,QUESTION_SHORT_ANSWER_NEEDS_REVIEW;OUT_OF_FRAME,"Một miếng pho mát có dạng khối lăng trụ đứng với chiều cao 10 cm và đáy là tam giác vuông cân có cạnh góc vuông bằng 12 cm. Tính khối lượng của miếng pho mát theo đơn vị gam, biết..."
4,III-2,TLN,0.5,VD,3,C2.B7.2,"Toạ độ của điểm, toạ độ của vectơ",C2,true,,,0.68,,"Trong không gian với hệ toạ độ Oxyz, cho hai điểm $ A(2,2,0) $, $ B(2,0,-2) $ và điểm $ M(a,b,c) $ với $ a,b,c $ là các số thực thay đổi thoả mãn $ a+2b-c-1=0 $ Biết MA=MB và góc ..."
4,III-3,TLN,0.5,VDC,4,C1.B1.1,"Tính đơn điệu (đồng biến, nghịch biến); xét dấu đạo hàm; bảng biến thiên",C1,true,,,0.96,,Hai thành phố A và B cách nhau một con sông. Người ta xây dựng một cây cầu EF bắc qua sông biết rằng thành phố A cách con sông một khoảng là 4 km và thành phố B cách con sông một ...
